,AAPL,ABBV,ADBE,AEP,AMT,AMZN,APD,AXP,BA,BAC,C,CAT,CL,CMCSA,COP,COST,CRM,CVX,DIS,DUK,ECL,EOG,EQIX,FCX,GE,GOOGL,GS,HON,JNJ,JPM,KO,LIN,LLY,LMT,META,MRK,MS,MSFT,NEE,NVDA,PEP,PFE,PG,PLD,SLB,SO,SPG,T,UNH,UPS,VZ,WFC,WMT,XOM
AAPL,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.05,0.95,0.0,0.15,0.0,0.0,0.05,0.0,0.2,0.95,0.0,0.1,0.0,0.3,0.0,0.05,0.9,0.0,1.0,0.45,0.0,0.0,0.0,0.0,0.05,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.65,0.0,0.0,0.0,0.0,0.15,0.2,0.0,0.0,0.0,0.0
ABBV,0.0,1.0,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.35,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.65,0.0,0.0,0.05,0.1,0.05,0.0,0.1,0.0,0.3,0.0,0.0,0.0,0.0,0.05,0.0,0.45,0.0,0.0,0.0,0.0,0.0
ADBE,1.0,0.1,1.0,0.0,0.5,1.0,0.15,0.3,0.5,0.0,0.0,0.0,0.0,0.4,0.0,0.95,1.0,0.0,0.2,0.0,0.4,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.25,0.05,0.0,1.0,0.0,0.1,1.0,0.05,1.0,0.05,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.45,0.55,0.0,0.0,0.05,0.0
AEP,0.0,0.0,0.0,1.0,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.7,0.0,0.95,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AMT,0.0,0.0,0.5,0.35,1.0,0.0,0.1,0.0,0.05,0.0,0.05,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.55,0.0,1.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.05,0.95,0.0,0.1,0.0,0.05,1.0,0.0,0.6,0.65,0.0,0.1,0.0,0.0,0.0,0.0,0.0
AMZN,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.0,0.0,0.2,0.0,0.0,0.0,0.3,0.3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0
APD,0.0,0.0,0.15,0.0,0.1,0.0,1.0,0.15,0.65,0.85,0.6,0.4,0.0,0.0,0.1,0.0,0.05,0.0,0.0,0.0,1.0,0.0,0.05,1.0,0.0,0.0,0.0,0.55,0.0,0.1,0.0,1.0,0.0,0.0,0.15,0.0,1.0,0.2,0.05,0.8,0.05,0.0,0.0,0.7,0.0,0.1,0.0,0.0,0.1,0.1,0.0,0.05,0.0,0.0
AXP,0.05,0.0,0.3,0.0,0.0,0.0,0.15,1.0,1.0,1.0,1.0,0.8,0.0,0.75,0.25,0.0,0.5,0.7,1.0,0.0,1.0,0.0,0.0,0.85,1.0,0.55,1.0,1.0,0.0,1.0,0.0,0.8,0.0,0.0,0.35,0.0,1.0,0.4,0.0,0.65,0.0,0.05,0.0,0.4,0.8,0.0,1.0,0.05,0.85,0.0,0.0,1.0,0.0,0.0
BA,0.95,0.1,0.5,0.0,0.05,0.1,0.65,1.0,1.0,0.1,1.0,0.9,0.0,0.45,0.25,0.0,0.75,0.9,1.0,0.0,0.65,0.45,0.05,0.8,1.0,0.8,0.9,1.0,0.0,0.8,0.6,1.0,0.0,1.0,0.5,0.0,0.15,0.4,0.3,0.65,0.15,0.1,0.0,0.85,0.7,0.1,1.0,0.3,0.8,0.2,0.0,1.0,0.0,0.7
BAC,0.0,0.0,0.0,0.0,0.0,0.0,0.85,1.0,0.1,1.0,1.0,1.0,0.0,0.7,1.0,0.0,0.0,0.25,0.85,0.0,0.85,0.8,0.0,0.15,0.6,0.0,1.0,0.55,0.0,1.0,0.0,0.1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.05,0.0,0.1,0.55,0.0,0.1,0.6,0.45,0.95,0.0,1.0,0.0,0.25
