,AAPL,ABBV,ADBE,AEP,AMT,AMZN,APD,AXP,BA,BAC,C,CAT,CL,CMCSA,COP,COST,CRM,CVX,DIS,DUK,ECL,EOG,EQIX,FCX,GE,GOOGL,GS,HON,JNJ,JPM,KO,LIN,LLY,LMT,META,MRK,MS,MSFT,NEE,NVDA,PEP,PFE,PG,PLD,SLB,SO,SPG,T,UNH,UPS,VZ,WFC,WMT,XOM
AAPL,1.0,0.0,0.06814610897789314,0.0,0.0,0.0549129564705832,0.0,0.0,0.053627840335261745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019629623015265465,0.0,0.0,0.0,0.0,0.0,0.0,0.02525132933137837,0.0,0.05983092349252985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07859173412598028,0.0,0.023362816497568297,0.12581947926813103,0.0,0.14426852408393478,0.0,0.0,0.0,0.004119850473107041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABBV,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0402185390459427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADBE,0.06814610897789314,0.0,1.0,0.0,0.0025959144514206022,0.08449004172048499,0.0,0.0,0.002083893848600647,0.0,0.0,0.0,0.0,0.00018357107691833162,0.0,0.017795246426835436,0.2468168961438063,0.0,0.0,0.0,0.0,0.0,0.050195318670212624,0.0,0.0,0.07590343312434338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07035100077505736,0.0,0.0,0.16387049047050908,0.0,0.13880040445377498,0.0,0.0,0.0,0.02535037471953848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AEP,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1286920127482915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10730933035359964,0.0,0.0,0.0,0.0,0.0016557181323411632,0.0,0.14259195716891884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AMT,0.0,0.0,0.0025959144514206022,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0021925145281611654,0.0,0.0,0.17673141051088276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06847624613451726,0.0,0.0,0.0,0.0,0.18701612010131932,0.0,0.01700937180031742,0.007799990101175374,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AMZN,0.0549129564705832,0.0,0.08449004172048499,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08706933337604647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14165428854059695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1746567612916677,0.0,0.0,0.11180577739889838,0.0,0.10015421413006259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
APD,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.012418506889134862,0.018249045700109993,0.004278076502116682,7.002388966547053e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06743496668962116,0.0,0.0,0.10427971514783317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11458249893460391,0.0,0.0,0.0,0.0,0.03479141698662442,0.0,0.0,0.024464268574205295,0.0,0.0,0.0,0.020350940179704496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AXP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0923013997006479,0.07124841225728427,0.05977686197730146,0.005980530892195822,0.0,0.008224301411178664,0.0,0.0,0.004363417280959247,0.0058532363077038385,0.06917224301956973,0.0,0.0547412596444015,0.0,0.0,0.03369311079227198,0.045423662997086514,0.00439251976067319,0.04340440378602156,0.05383921713874564,0.0,0.07697932999746894,0.0,0.010832361729293123,0.0,0.0,0.0,0.0,0.0606888027174768,0.0,0.0,0.011304229631482273,0.0,0.0,0.0,0.0,0.022628117105338675,0.0,0.11496518017296146,0.0,0.024963059365328825,0.0,0.0,0.08562120446127769,0.0,0.0
BA,0.053627840335261745,0.0,0.002083893848600647,0.0,0.0,0.0,0.012418506889134862,0.0923013997006479,1.0,0.0,0.05177336518925536,0.02720288067639033,0.0,0.002947106684822611,0.0006280059632986061,0.0,0.020157107632977758,0.039324749077208856,0.07288012072883142,0.0,0.028142221715056943,0.005065726742414747,0.0,0.011434956262887201,0.13383821473599788,0.023145762276961065,0.02163774675684183,0.12018251568505565,0.0,0.020356829566533445,0.004418542684871058,0.04608452844473885,0.0,0.08546633008234956,0.010552106869302672,0.0,0.0,0.0,0.0,0.008514669100844124,0.0,0.0,0.0,0.037351941068345565,0.009088280658419979,0.0,0.19679698072603732,0.0,0.025430635713991016,0.0,0.0,0.03777276786029738,0.0,0.017018218725342222
BAC,0.0,0.0,0.0,0.0,0.0,0.0,0.018249045700109993,0.07124841225728427,0.0,1.0,0.20455889519950926,0.04757043323885193,0.0,0.004027792864631292,0.02372257662489307,0.0,0.0,0.0,0.0127043183496195,0.0,0.018845011065316115,0.01447087756410388,0.0,0.0,0.008422745139797837,0.0,0.11472363494236747,0.006473540542384238,0.0,0.2023188186403584,0.0,0.0,0.0,0.0,0.0,0.0,0.14374378028439325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012007425275467147,0.0,0.02314866931058736,0.0,0.19870408819392607,0.0,0.0
C,0.0,0.0,0.0,0.0,0.0,0.0,0.004278076502116682,0.05977686197730146,0.05177336518925536,0.20455889519950926,1.0,0.019543955822475093,0.0,0.03882796759289713,0.028995096369289933,0.0,0.011181476946856252,0.029225338402032452,0.05149491837705798,0.0,0.016745849649600467,0.006136394447968753,0.0,0.002873871084265734,0.053208752553180735,0.007714044434102374,0.13360922269587056,0.04621252931155694,0.0,0.165061230726769,0.0,0.01578854832017402,0.0,0.0,0.0,0.0,0.11567625475460704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05214249027216555,0.0,0.055128484028753436,0.03902365970861173,0.01124613816239233,0.0017065070313697084,0.0,0.14080129434787464,0.0,0.006200646846765266
CAT,0.0,0.0,0.0,0.0,0.0,0.0,7.002388966547053e-05,0.005980530892195822,0.02720288067639033,0.04757043323885193,0.019543955822475093,1.0,0.0,0.0,0.027761089161000004,0.0,0.0,0.0,0.0,0.0,0.0,0.02861666500702407,0.0,0.2405721323868829,0.04840598852306691,0.0,0.036396114144556846,0.03443795867466846,0.0,0.002945636936478246,0.0,0.0,0.0,0.0,0.0,0.0,0.061047675309308075,0.0,0.0,0.012303744386258064,0.0,0.0,0.0,0.0,0.0785483162811383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
