,AAPL,ABBV,ADBE,AEP,AMT,AMZN,APD,AXP,BA,BAC,C,CAT,CL,CMCSA,COP,COST,CRM,CVX,DIS,DUK,ECL,EOG,EQIX,FCX,GE,GOOGL,GS,HON,JNJ,JPM,KO,LIN,LLY,LMT,META,MRK,MS,MSFT,NEE,NVDA,PEP,PFE,PG,PLD,SLB,SO,SPG,T,UNH,UPS,VZ,WFC,WMT,XOM
AAPL,3842.0680265660762,-0.0,-242.56284414827618,-0.0,-0.0,-191.3239029004423,-0.0,-0.0,-156.7507626981533,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-63.87765672291908,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-57.22030611012338,-0.0,-238.64998432981815,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-235.2222710254668,-0.0,-101.26327058987769,-543.2197718537877,-0.0,-363.31228359085173,-0.0,-0.0,-0.0,-16.442710181574725,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
ABBV,-0.0,3502.7391222721035,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-87.01890075241853,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
ADBE,-242.56284414827618,-0.0,3297.62582492514,-0.0,-9.737727192310407,-272.72069347248043,-0.0,-0.0,-5.643039761455965,-0.0,-0.0,-0.0,-0.0,-0.673735884227182,-0.0,-75.65614639507952,-744.0978785238581,-0.0,-0.0,-0.0,-0.0,-0.0,-180.08224599962327,-0.0,-0.0,-280.48864615635296,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-195.0697869720197,-0.0,-0.0,-655.4606158357448,-0.0,-323.8302291318314,-0.0,-0.0,-0.0,-93.73342667585848,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
AEP,-0.0,-0.0,-0.0,6161.1795007038645,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-806.3496157442354,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-566.8024039163165,-0.0,-0.0,-0.0,-0.0,-8.368117291509435,-0.0,-853.1086913607892,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
AMT,-0.0,-0.0,-9.737727192310407,-0.0,4267.10253666205,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-11.432701864814844,-0.0,-0.0,-721.2524113256733,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-301.0015636232701,-0.0,-0.0,-0.0,-0.0,-786.6019255871415,-0.0,-84.69001686303965,-25.25434923807902,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
AMZN,-191.3239029004423,-0.0,-272.72069347248043,-0.0,-0.0,3159.539290379762,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-256.9399241804575,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-512.383087453413,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-474.04145767912195,-0.0,-0.0,-437.74509271953224,-0.0,-228.72154473780822,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
APD,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,4229.269494997804,-0.0,-38.08367869317011,-86.76322165482173,-19.555693034161823,-0.2797996999617781,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-292.4951600838749,-0.0,-0.0,-247.9224881417506,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-545.2365338227388,-0.0,-0.0,-0.0,-0.0,-158.21549859747208,-0.0,-0.0,-64.63844253392267,-0.0,-0.0,-0.0,-85.21706662874404,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
AXP,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,3924.428701254189,-272.6674762630699,-326.3068894415099,-263.2166269406384,-23.01952156356077,-0.0,-32.92850212328758,-0.0,-0.0,-14.350580226761728,-25.536010196639147,-261.78546166619816,-0.0,-228.71985407539245,-0.0,-0.0,-77.16364553992544,-142.64513241160805,-17.707413316436842,-195.64066002050401,-253.2270338236914,-0.0,-370.66033309341117,-0.0,-49.65298412105399,-0.0,-0.0,-0.0,-0.0,-265.85266520733666,-0.0,-0.0,-28.771013476422524,-0.0,-0.0,-0.0,-0.0,-79.6985841934133,-0.0,-356.9686993741017,-0.0,-95.50061611256865,-0.0,-0.0,-350.56408329312023,-0.0,-0.0
BA,-156.7507626981533,-0.0,-5.643039761455965,-0.0,-0.0,-0.0,-38.08367869317011,-272.6674762630699,2223.687013707464,-0.0,-171.6070830637217,-78.81702893149438,-0.0,-8.88213609132355,-1.8333699085837767,-0.0,-49.90218210894834,-129.14320303365457,-207.62103767358582,-0.0,-88.5107594418315,-13.563669099719368,-0.0,-19.713091759043575,-316.3760114424598,-70.2362792890185,-73.41519660500545,-425.50163223606586,-0.0,-73.78375163530721,-18.51492434177203,-159.0105561692524,-0.0,-288.4293228899469,-24.02675129534917,-0.0,-0.0,-0.0,-0.0,-16.312877413419056,-0.0,-0.0,-0.0,-113.41210953401706,-24.095310506068255,-0.0,-459.97142434840737,-0.0,-73.23424167999637,-0.0,-0.0,-116.41622269058982,-0.0,-58.22474301813331
BAC,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-86.76322165482173,-326.3068894415099,-0.0,5344.728660074045,-1051.1705511104574,-213.68216291688987,-0.0,-18.819786611066622,-107.36783364054615,-0.0,-0.0,-0.0,-56.1099191467702,-0.0,-91.88827204555716,-60.06981536554914,-0.0,-0.0,-30.867614832927057,-0.0,-603.466036201878,-35.532667599701526,-0.0,-1136.8754142666883,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-734.8456374347037,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-6.13876105608015,-0.0,-106.26066095967235,-0.0,-949.4399412235941,-0.0,-0.0
